"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002236.1.296701.297000",0,0,0,-4.36102376638808,0
"CM002236.1.297001.297300",0,0,0,-3.96658338687226,0
"CM002236.1.297301.297600",0,0,0,-3.98400639147246,0
"CM002236.1.302401.302700",0,0,0,-3.252893991351,0
"CM002236.1.302701.303000",0,0,0,-2.55853048109493,0
"CM002236.1.303001.303300",0,0,0,-3.09130237031366,0
"CM002236.1.303301.303600",0,0,0,-2.98363962587755,0
"CM002236.1.305401.305700",0,0,0,0,0
"CM002236.1.305701.306000",0,0,0,0,0
"CM002236.1.306001.306300",0,0,0,0,1.58416883682863
"CM002236.1.306301.306600",0,0,0,0,1.70161633749796
"CM002236.1.306601.306900",0,0,0,0,1.80142574781199
"CM002236.1.306901.307200",0,0,0,0,2.02427114361339
"CM002236.1.307201.307500",0,0,0,0,1.79401207086011
"CM002236.1.307501.307800",0,0,0,0,0
"CM002236.1.309301.309600",0,0,0,0,2.26049984279351
"CM002236.1.309601.309900",0,0,0,0,2.27241996923454
"CM002236.1.309901.310200",0,0,0,0,1.6969864071268
"CM002236.1.311701.312000",0,0,1.5874710467225,0,1.94646871874701
"CM002236.1.312001.312300",0,0,1.69040388662895,0,2.0753892705226
"CM002236.1.312301.312600",0,0,1.91561519834792,0,2.32777887821656
"CM002236.1.312601.312900",0,0,1.90602034010752,0,1.83556677901378
"CM002236.1.312901.313200",0,0,2.00736804778101,0,1.69801359084688
"CM002236.1.314101.314400",0,0,1.55622041245748,-2.39565623456476,0
"CM002236.1.314401.314700",-1.52929150718214,0,1.66141434897167,-2.5561631321571,0
"CM002236.1.314701.315000",-1.60836672225311,0,0,-3.33537918746392,0
"CM002236.1.318901.319200",-2.0774122678651,-2.03172408615278,0,-2.86834807478136,0
"CM002236.1.319201.319500",-1.8944987225139,-1.66146787866525,0,-2.34278233971157,0
"CM002236.1.319501.319800",-1.76449108277407,-1.53254549903223,0,-2.66981775436057,0
"CM002236.1.319801.320100",-2.26224490203347,0,0,-2.82387513565454,0
"CM002236.1.320101.320400",-2.27170043332667,0,0,-1.81458724442343,0
"CM002236.1.320401.320700",-1.75318170593854,0,0,-1.43487827728452,0
"CM002236.1.320701.321000",0,0,1.33131494260125,0,0
"CM002236.1.327601.327900",0,0,0,0,0
"CM002236.1.327901.328200",0,0,0,0,0
"CM002236.1.328201.328500",-1.70351664190263,0,0,0,0
"CM002236.1.328801.329100",0,0,1.43528238452069,0,1.53151578160541
"CM002236.1.329101.329400",0,0,1.6550115164077,0,0
"CM002236.1.329401.329700",0,0,1.7700298756066,0,0
"CM002236.1.329701.330000",-2.22212483257014,0,0,-1.41824482401186,0
"CM002236.1.332401.332700",-1.53514910253756,0,1.41430165992299,0,0
"CM002236.1.332701.333000",0,0,0,0,0
"CM002236.1.333001.333300",0,0,0,0,0
"CM002236.1.333301.333600",0,0,0,0,0
"CM002236.1.333601.333900",0,0,0,0,0
"CM002236.1.333901.334200",0,0,0,0,0
"CM002236.1.334201.334500",0,0,0,0,0
"CM002236.1.359701.360000",0,0,1.92242320642647,0,0
"CM002236.1.360001.360300",0,0,2.59048686281794,0,0
"CM002236.1.360301.360600",0,0,2.49385648874697,0,0
"CM002236.1.360601.360900",0,0,2.6830835762826,0,0
"CM002236.1.360901.361200",0,0,2.08822233020191,0,0
"CM002236.1.363901.364200",0,0,2.0495103716822,0,0
"CM002236.1.369001.369300",0,0,0,0,0
"CM002236.1.377701.378000",0,0,0,0,0
"CM002236.1.391501.391800",0,0,1.68140362063718,0,0
"CM002236.1.391801.392100",0,0,0,0,0
"CM002236.1.393901.394200",0,0,3.08844039917645,0,0
"CM002236.1.394201.394500",0,0,2.5920239927455,0,0
"CM002236.1.394501.394800",0,0,2.39995242295725,0,0
"CM002236.1.397501.397800",0,0,2.42128516087509,0,0
"CM002236.1.397801.398100",-1.6020950356233,0,2.36895652313419,0,0
"CM002236.1.398101.398400",0,0,3.05639292480919,0,0
"CM002236.1.400501.400800",0,0,2.44124929774073,0,0
"CM002236.1.400801.401100",0,0,2.31707459734809,0,0
"CM002236.1.401101.401400",0,0,2.22016689474045,0,0
"CM002236.1.477901.478200",0,0,1.55691235041269,1.26249366106816,0
"CM002236.1.478201.478500",0,0,0,0,0
"CM002236.1.480001.480300",0,0,1.94804754552464,0,0
"CM002236.1.480301.480600",-1.78519283489817,-1.77526907453589,1.88574497390951,-1.34420206017252,-2.00940236205577
"CM002236.1.480601.480900",-1.53787550101889,-2.33090984857351,1.32788046278177,0,-2.07045293482615
"CM002236.1.480901.481200",-1.62843556432438,-1.85210982712781,0,0,-2.13300490425147
"CM002236.1.481201.481500",-1.58087196255551,-1.85550228426533,1.41393024816159,0,-2.29501672694341
"CM002236.1.481501.481800",-1.55647257572677,-1.60763505307177,0,-1.78824362231366,-2.59737695672118
"CM002236.1.481801.482100",-1.61411687028815,-2.16400546796934,0,-2.17292796117881,-2.77914480267908
"CM002236.1.486901.487200",-2.40671949558669,-2.21285672305855,0,0,0
"CM002236.1.487201.487500",0,-2.29418255749427,0,0,-1.46401213454084
"CM002236.1.487501.487800",-1.97556019588777,0,0,0,0
"CM002236.1.487801.488100",-2.00526663665754,-1.59638690513474,0,0,0
"CM002236.1.488101.488400",-1.64327817327437,0,0,0,0
"CM002236.1.488701.489000",0,0,0,0,0
"CM002236.1.489001.489300",0,0,0,0,0
"CM002236.1.489301.489600",-1.85619013748248,0,0,0,0
