"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002239.1.68101.68400",0,0,0,0,0
"CM002239.1.70801.71100",0,0,0,0,0
"CM002239.1.71101.71400",0,0,0,0,0
"CM002239.1.101401.101700",0,0,0,0,-1.7064995576873
"CM002239.1.103201.103500",0,-2.02725812579966,-4.36782554046362,-2.56205162455103,-2.08007193012095
"CM002239.1.103501.103800",0,0,-2.4111792695665,-2.39719995059771,-1.93833921102102
"CM002239.1.106801.107100",0,0,0,0,0
"CM002239.1.107101.107400",0,0,0,0,0
"CM002239.1.109801.110100",0,0,0,0,-1.55567562198574
"CM002239.1.110101.110400",0,0,0,0,0
"CM002239.1.112801.113100",0,0,0,0,-1.68805394931013
"CM002239.1.113101.113400",0,0,0,0,0
"CM002239.1.142801.143100",0,0,0,0,0
"CM002239.1.177001.177300",0,0,0,0,-2.28868645856171
"CM002239.1.177301.177600",0,0,0,0,-2.34441428089541
"CM002239.1.177901.178200",0,0,0,0,-1.59985810351202
"CM002239.1.178201.178500",0,0,0,0,-1.78202491579515
"CM002239.1.183901.184200",0,0,0,0,-2.58300161774495
"CM002239.1.184801.185100",0,0,0,0,-1.60248975313222
"CM002239.1.185101.185400",0,0,0,0,-2.38086828687063
"CM002239.1.188401.188700",0,0,0,0,-1.69980507728589
"CM002239.1.188701.189000",0,0,0,0,-2.24056377245334
"CM002239.1.191401.191700",0,0,0,0,0
"CM002239.1.191701.192000",0,0,0,0,0
