"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002238.1.4764024.4764824",4.65728660414446,3.55017728225408,3.40483246318286,2.75504616268843,0,3.5206024581828
"CM002238.1.4765864.4766664",4.34720282386283,3.60667518228351,3.56531809692816,3.14941269893785,0,3.38292338391231
"CM002238.1.4768723.4769523",4.181956212559,4.00702898086615,4.03527551210629,3.88075825795717,0,3.20777916894691
"CM002238.1.4769436.4770236",4.27239176907357,3.81083414163429,4.00665990140243,4.0883189720436,0,3.26793555926263
"CM002238.1.4772142.4772942",4.52947060715697,4.24464555886797,4.36931826446902,4.22432904529869,0,3.54961213958592
"CM002238.1.4772653.4773453",4.39181268088665,4.28463615672994,4.14348198890601,4.04074086683331,0,3.4126219158436
"CM002238.1.4775445.4776245",4.15198382101464,4.4035719344797,4.12203032877056,3.73076851384075,0,3.48852073414363
"CM002238.1.4777522.4778322",3.99556843686512,4.13599784008175,3.72226381749888,3.20456701002162,0,2.95782463982254
"CM002238.1.4780090.4780890",4.5401741389953,4.29819552891582,4.43752077568114,4.57044095282651,0,3.44092585836984
"CM002238.1.4781847.4782647",4.49747894928489,4.12654945178466,4.02316060772532,4.12469450312925,0,3.70523365164898
"CM002238.1.4787313.4788113",4.60040661551988,4.06310510852016,4.06979507172624,3.52890812754549,0,3.40031220913012
"CM002238.1.4788157.4788957",4.73409386395226,4.17282848034247,4.09597138946835,3.81169895812218,0,3.36134918688039
"CM002238.1.4789887.4790687",4.92735196898326,4.61199615081444,4.69202116695075,4.47877883051845,0,3.72389602089092
"CM002238.1.4792071.4792871",4.7038927045614,4.60587960596936,4.44070713780892,4.34804480351871,0,3.37797774112841
"CM002238.1.4793603.4794403",4.58739982388803,4.64474929601821,4.23368332414687,4.14443687010818,0,3.94700477610132
"CM002238.1.4795515.4796315",4.51339966516405,4.66429159578194,4.52125400142569,3.17951373693407,0,3.58582877312287
"CM002238.1.4796719.4797519",4.87390043619897,4.70074720992734,4.51407238838537,2.99037178867396,0,4.01139350084341
"CM002238.1.4799660.4800460",4.81381974131626,4.38772100010959,4.46449905970418,4.45216637447696,0,3.62257251371139
"CM002238.1.4804459.4805259",4.34905031932564,3.94437523868047,3.8277386024999,4.0049177358319,0,3.27330990540132
"CM002238.1.4806535.4807335",4.40179866145782,3.93280219312436,3.94882990509574,3.49602997512414,0,3.16242296822158
"CM002238.1.4808622.4809422",4.70158545735891,4.36854918133374,4.36642518613721,4.36577825003202,0,3.59611977564755
"CM002238.1.4811105.4811905",4.36589096435836,4.13992151331715,4.14957455950262,4.49248705430048,0,3.29432998954979
"CM002238.1.4814560.4815360",4.62500514712873,4.40718869992021,4.55136109773578,4.68062035313769,0,3.30693496859573
"CM002238.1.4818472.4819272",4.16417342604354,4.06941677104134,4.12455059642191,3.99074402714266,0,3.25977531604114
"CM002238.1.4820392.4821192",4.36260326721656,3.91911315915063,3.9337520321266,4.1047558417198,0,2.98632364572253
"CM002238.1.4823195.4823995",4.28623550219263,4.15064827599336,4.10648694589478,4.21350835212673,0,3.27445958521576
"CM002238.1.4825546.4826346",4.74508908520709,4.34857576735445,4.41504254255203,4.62425724094562,0,3.45760852835147
"CM002238.1.4827077.4827877",4.61078965248376,4.6317574751563,4.64462198544801,5.1710250804398,0,3.23494050088767
"CM002238.1.4856981.4857781",4.11829888202921,4.68910423996319,4.19740249674254,4.51586512309004,0,2.68050710766608
"CM002238.1.4859525.4860325",4.45388450653479,4.32641425485025,4.46824752795151,4.53442336696434,0,3.42099056534126
"CM002238.1.4861081.4861881",4.67400711712982,4.72307176215439,4.4824194680193,4.85604412258835,0,3.13899703353943
"CM002238.1.4861938.4862738",4.22230317416925,4.32665832968416,4.30839560337706,4.29908624573228,0,2.73485723147274
"CM002238.1.4862426.4863226",4.0402188165069,4.09689816598511,4.16372721181449,4.26813825647531,0,2.72329746439664
"CM002238.1.4869640.4870440",3.62909790571082,3.592788446378,3.36450204122227,3.58433829362268,0,2.67807702374058
"CM002238.1.4869899.4870699",3.65432468707509,3.5550667884016,3.33332728399883,3.51536764737028,0,2.29056031230814
"CM002238.1.4872643.4873443",2.23501308679146,2.07091892468098,1.79882096206752,1.91046520673021,0,0
"CM002238.1.4873485.4874285",2.4494235809469,2.2666166169756,1.63435325429834,2.11405607758469,0,0.849312671299037
"CM002238.1.4875826.4876626",3.50925715226405,3.27094324455187,2.82929537194598,2.86487532173068,0,2.31193860152291
"CM002238.1.4926812.4927612",2.38571718251662,1.60286219169939,1.1344988604429,1.36643781159912,0,3.17198269443826
"CM002238.1.4962586.4963386",1.20864704007353,1.09764452495515,0,0,0,1.72203377994595
