"","WT_0hr_rep1","WT_0hr_rep2","WT_0hr_rep3","WT_24hr_rep1","WT_24hr_rep2","WT_24hr_rep3","qa_0hr_rep1","qa_0hr_rep2","qa_0hr_rep3","qa_24hr_rep1","qa_24hr_rep2","qa_24hr_rep3"
"NCU05499",21.0448373318338,24.7315780643013,27.8742353799805,759.62113339849,328.810933011013,238.280108344251,12.5832045203922,50.8604546195896,56.2798087421252,1084.99154139144,1987.72667827158,1054.12168025021
"NCU05498",94566.4797532616,62393.4070601031,66443.087721293,144606.198595246,117928.282897145,141252.138771786,91734.7067547891,33527.6848057416,44372.2999771086,138374.314130717,103308.859636677,105948.540894124
"NCU14176",254200.59013122,37789.8512822523,45881.5973970865,50766.2899185646,23954.8435608317,28369.2583538431,91958.8450853086,20013.5888928085,27203.0620163091,38778.0271388343,19869.4256518351,29984.7333074707
"NCU12104",297.634127978792,322.237914190749,301.162934431528,1044.69437053556,383.209800604747,263.03648323716,333.454919790393,363.119989958466,313.435242533067,563.9682459037,739.02658551123,391.105217053965
"ccg-16",41864.1942636836,112535.954186119,99283.7846920195,174791.234290654,116686.779852283,110825.00675497,75879.0826088124,52885.4103942114,65905.3877234515,89411.3867660271,120351.557606,58922.7945578731
"NCU05494",0,2.90959741932956,0,6.88998760452145,2.41772744861039,9.28364058484094,1.57290056504902,0,0.865843211417311,0,0,0
"NCU05493",27.057647998072,17.4575845159774,19.3907724382473,646.797586374451,806.312104111565,846.358566651332,23.5935084757353,41.3980444578055,19.0485506511808,615.123260369769,1027.188145379,856.706665927733
"NCU05492",114.243402658526,141.115474837484,103.013478578189,67.1773791440841,70.1140960097013,37.1345623393638,77.8585779699266,132.473742264978,112.55961748425,73.2590330625187,43.1262198441567,67.0466086378226
"NCU05491",1202.56213324764,880.153219347192,974.992276660621,1045.55561898613,836.533697219194,888.134949283116,1025.53116841196,793.068251684531,687.479509865345,1026.8895496522,866.444962323511,789.660057289911
"NCU05490",27457.4999073768,8932.46407734175,7928.40208068835,17958.7526911852,11580.9144788438,9873.15176197834,26577.3008476333,8069.07026546141,9286.16844245066,15584.5961972739,7784.28268187028,7702.91037016762
"NCU05488",41722.893213027,31672.4227081119,27154.9589148492,86018.9114970986,30541.9419945707,34030.7318371653,53819.1521839999,21975.2647994734,25897.3704534918,47771.2049906469,34416.6837183572,20471.5645040818
