"order_idx","gene","cluster","K27_cac1","K27_cac2","K27_set7","K36_cac1","K36_cac2","K36_set7","RNA_cac-1","RNA_cac-2","RNA_set-7"
172,"NCU06885","K27 lost only",-0.408461467732726,-0.0119827745551007,0.454535950662233,1.0383107521489,0.886337857583414,1.51027142957499,2.02938141262587,0.452444320333162,1.19381181651098
173,"NCU06888","K27 lost only",-0.13278283472418,-0.328666890761578,0.355171407530956,1.09054419355706,0.847612276959563,1.75699595728331,2.40490349367044,0.804189158668837,-0.529481793920121
174,"NCU06903","K27 lost only",-0.410625465778007,-0.132280163320918,0.662836621075917,0.681637513820573,0.521427816005389,1.53565138802159,2.21488134148418,1.14422951324417,-0.48576394163611
175,"NCU08835","K27 lost only",-0.396066543628735,-0.43673164324147,0.668585481814775,0.774116289021733,0.664532468585569,1.20151357990566,2.46272447140602,0.662481425473898,-0.389890406336976
176,"NCU06889","K27 lost only",-0.831734781135794,-0.0874319971477136,0.737523165288806,0.638656629886772,0.85954321021196,1.40892156501335,2.65518655028792,-0.189376300153885,-0.4017353127925
177,"NCU07053","K27 lost only",0.163630810271317,-1.10970758433167,0.370268051391052,-0.712439207973658,-1.17422636229605,-0.465077254837815,0,0,0
178,"NCU17172","K27 lost only",-0.73528860030288,-0.247066836862014,0.634032624531554,1.17835938916162,1.12381268026272,1.80578032872351,2.59190977614639,0.280826667484297,-0.434392478819934
179,"NCU05469","K27 lost only",-0.759304276185519,-0.2332926753052,0.703788023380409,1.28114781164261,1.25071132309999,1.81020490750778,0.267588947806873,-0.200382722399259,-0.404573458276509
180,"NCU08834","K27 lost only",-0.834184417650676,-0.248668302679354,1.02741529989518,0.778784458751516,0.965373793476715,1.65964391482487,2.12395371675888,1.33122734470656,-0.536580255080434
181,"NCU05467","K27 lost only",-0.757687219197988,-0.445810481662259,0.488227312450115,0.956384281181345,0.967493305493372,1.47666212260262,0.168657986213902,-0.100027327861264,0.0373034020395401
182,"NCU08836","K27 lost only",-0.753008252691277,-0.53189861519203,0.387313347653089,0.820303009552706,0.810638577957474,1.31760265243197,2.16356943234424,1.02515294758777,0.187763387395571
183,"NCU08829","K27 lost only",-0.874842988339293,-0.485514554545744,0.724015131880221,0.986742178113458,1.19066879805771,1.59574135066149,2.44920835128767,0.0388987198292926,-0.621000923329505
184,"NCU08832","K27 lost only",-1.11894040223847,-0.301048823341366,0.695630972116247,0.99629667502587,1.20190687817182,1.52144064440702,1.37929519782889,2.02481275296653,-0.522102711460248
185,"NCU16876","K27 lost only",-1.00260466980577,-0.665151949071302,0.33504458076037,0.572007121001887,0.909448816229949,1.23445820547867,2.00502151869058,1.34133552636165,-0.350199234300075
186,"NCU08830","K27 lost only",-1.00790897932644,-0.728386419648204,0.347855998321284,0.563795745260424,0.756341272338575,1.2345441339563,1.44932385114635,1.92357422357537,0.0039402323697821
187,"NCU10285","K27&K36 retain",5.94970443540687,5.59356808080721,0.110963634926599,-0.411894512414696,-0.130562690187388,-0.773528886217483,0.216706629888134,-0.584894208498083,2.56777719491484
188,"NCU17054","K27&K36 retain",5.8129058647178,5.0714922417308,0.177645370490762,-1.28761157824132,-1.38219492932769,-1.29837213207591,-0.31829080380891,0.143496662495748,-0.237124838845353
189,"NCU09181","K27&K36 retain",5.24262882935085,5.25939163891749,0.500013884825888,0.690080253360002,0.758566620657277,0.59381030972864,0,0,0
190,"NCU07145","K27&K36 retain",5.15301289413017,4.97034445068321,0.824729538689071,0.881999451039219,0.67722502291474,1.28057816056452,-0.513260624772302,-0.437834610412406,1.90298436962343
191,"NCU09965","K27&K36 retain",5.139494200126,5.00661415242392,0.68209194825574,1.32633142229375,1.46094293026917,1.30901828006571,1.97805105544154,-0.440433179394363,1.48862150056478
192,"NCU09636","K27&K36 retain",5.25755523598686,5.03805073214782,0.482358404418088,0.585940625338423,0.324078273798116,1.04843717797045,0,0,0
193,"NCU07146","K27&K36 retain",4.94536203567062,4.97558591330349,0.710814666137059,0.787174235856222,0.708549865899201,1.38756784001818,2.2408638821061,-0.48499668303626,-0.48499668303626
194,"NCU07229","K27&K36 retain",4.92804861134995,4.89332728189585,0.781095631253233,1.27286324622158,1.33426360199549,1.55522980383255,1.31547150680166,0.420505499830799,1.13158806765151
195,"NCU08753","K27&K36 retain",5.08598656592108,4.94695121689132,0.546759641429332,1.03374480351677,0.748042344933675,1.41166986405548,0.452148807906985,0.145089768192804,0.663321990769501
196,"NCU09179","K27&K36 retain",5.15055047210062,4.98093340791028,0.370955397957767,0.377097910519986,0.451253488382909,-0.290289005956215,0.774276056240178,0.34935157397339,2.28266527723849
197,"gh7-4","K27&K36 retain",4.93857293058631,4.76171401671795,0.800766689684303,1.04341074775489,0.778636926915572,1.54582083324376,1.18039511997277,-0.221114456761162,1.2900611003607
198,"NCU05085","K27&K36 retain",4.71188310127302,4.81382782195572,0.896718479998056,1.16693348877956,0.933045662823423,1.33255459027694,0.556865678445239,-0.467837263646842,-0.734747294223052
199,"NCU09180","K27&K36 retain",4.98750583664669,5.07036768326292,0.340151822601548,1.15705291544808,1.24824870389098,1.09760947217813,2.4544857492248,-0.697631189873139,0.14703474493057
200,"NCU09306","K27&K36 retain",5.1859352716117,5.10040030630443,0.0543975165250891,0.0857240537200095,0.187675774077857,0.495878143679397,0,0,0
201,"NCU09635","K27&K36 retain",5.15925545221396,4.85369362594088,0.317303662249809,0.0226160498875408,-0.242922334090653,0.676715494706099,0,0,0
202,"NCU08238","K27&K36 retain",4.87567077875136,4.60104087441092,0.837817380181743,0.389151544150689,0.102873855688644,1.18352092494025,0.828763793177254,-0.46284306080294,-0.46284306080294
203,"NCU09177","K27&K36 retain",4.79747825315677,4.87487662893538,0.546964953124227,1.14818163516407,1.30117466200428,1.36907827537354,-0.394925860388094,-0.291579213948157,2.62622395002326
204,"NCU05100","K27&K36 retain",4.72430566554508,4.79728503107782,0.654124950046853,0.963198795417542,0.974317721021391,0.936931356631501,-0.0668469227543198,0.513164887938629,-0.518190723760533
205,"NCU16614","K27&K36 retain",4.57214692845431,4.62047724125383,0.950369016777982,1.66592189410271,1.61206679609765,1.70329745752267,0.667900888908547,-0.547038691893153,2.38112983249312
206,"NCU12144","K27&K36 retain",4.6948971262527,4.7145356636984,0.695652212585086,0.923118431573349,1.07910535477377,0.992861008812803,-0.333333333333333,-0.333333333333333,2.66666666666667
207,"NCU09633","K27&K36 retain",4.89828930801266,4.91828028457551,0.281863450749305,0.0139856875452632,0.0696388557993046,0.667761269711871,0.167473092108901,0.261569730967269,0.958502346235353
208,"NCU10427","K27&K36 retain",4.82149243008395,4.67647382514933,0.596383344327951,1.28233715544606,1.1034406653887,1.35504521580937,-0.663654839301606,-0.23041204806558,0.975336243945942
209,"NCU09184","K27&K36 retain",4.55956797012885,4.91388614455254,0.617420269555926,0.643711319980618,0.998816124544695,0.946640836365905,1.0068263491317,0.0776648267294974,2.02230836217464
210,"NCU07602","K27&K36 retain",4.62262350480726,4.654502593908,0.789975653100133,0.940411487123223,1.03388132417528,1.43976462425928,2.41866607186845,0.443777768640674,-0.545424832470946
